,Название,Текст,Первоисточник
146,5,"

Хозяйка дома, честно говоря,
меня бы не любила непременно,
но робость поступить несовременно
чуть-чуть мешала ей, что было зря.

- Как поживаете? (О блеск грозы,
смиренный в тонком горлышке гордячки!)
-Благодарю, - сказала я, - в горячке
я провалялась, как свинья в грязи.

(Со мной творилось что-то в этот раз.
Ведь я хотела, поклонившись слабо,
сказать:
- Живу хоть суетно, но славно,
тем более, что снова вижу вас.)

Она произнесла:
- Я вас браню.
Помилуйте, такая одаренность!
Сквозь дождь! И расстоянья отдаленность! -
Вскричали все:
- К огню ее, к огню!

- Когда-нибудь, во времени другом,
на площади, средь музыки и брани,
мы б свидеться могли при барабане,
вскричали б вы:
- В огонь ее, в огонь!

За все! За дождь! За после! За тогда!
За чернокнижье двух зрачков чернейших,
за звуки, с губ, как косточки черешни,
летящие без всякого труда!

Привет тебе! Нацель в меня прыжок.
Огонь, мой брат, мой пес многоязыкий!
Лижи мне руки в нежности великой!
Ты - тоже Дождь! Как влажен твой ожог!

- Ваш несколько причудлив монолог, -
проговорил хозяин уязвленный. -
Но, впрочем, слава поросли зеленой!
Есть прелесть в поколенье молодом.

-Не слушайте меня! Ведь я в бреду! -
просила я. - Все это Дождь наделал.
Он целый день меня казнил, как демон.
Да, это Дождь вовлек меня в беду.

И вдруг я увидала - там, в окне,
мой верный Дождь один стоял и плакал.
В моих глазах двумя слезами плавал
лишь след его, оставшийся во мне.

",[]
147,6,"

Одна из гостий, протянув бокал,
туманная, как голубь над карнизом,
спросила с неприязнью и капризом:
- Скажите, правда, что ваш муж богат?

- Богат ли он? Не знаю. Не вполне.
Но он богат. Ему легка работа.
Хотите знать один секрет? - Есть что-то
неизлечимо нищее во мне.

Его я научила колдовству -
во мне была такая откровенность-
он разом обратит любую ценность
в круг на воде, в зверька или траву.

Я докажу вам! Дайте мне кольцо.
Спасем звезду из тесноты колечка! -
Она кольца мне не дала, конечно,
в недоуменье отстранив лицо.

- И, знаете, еще одна деталь-
меня влечет подохнуть под забором.
(Язык мой так и воспалялся вздором.
О, это Дождь твердил мне свой диктант.)

",[]
148,7,"

Все, Дождь, тебе припомнится потом!
Другая гостья, голосом глубоким,
осведомилась:
- Одаренных богом
кто одаряет? И каким путем?

Как погремушкой, мной гремел озноб:
-Приходит бог, преласков и превесел,
немножко старомоден, как профессор,
и милостью ваш осеняет лоб.

А далее - летите вверх и вниз,
в кровь разбивая локти и коленки
о снег, о воздух, об углы Кваренги,
о простыни гостиницей больниц.

Василия Блаженного, в зубцах,
тот острый купол помните?
Представьте -
всей кожей об него!

- Да вы присядьте! -
она меня одернула в сердцах.

",[]
149,8,"

Тем временем, для радости гостей,
творилось что-то новое, родное:
в гостиную впускали кружевное,
серебряное облако детей.

Хозяюшка, прости меня, я зла!
Я все лгала, я поступала дурно!
В тебе, как на губах у стеклодува,
явился выдох чистого стекла.

Душой твоей насыщенный сосуд,
дитя твое, отлитое так нежно!
Как точен контур, обводящий нечто!
О том не знала я, не обессудь.

Хозяюшка, звериный гений твой
в отчаянье вселенном и всенощном
над детищем твоим, о, над сыночком
великой поникает головой.

Дождь мои губы звал к ее руке.
Я плакала:
- Прости меня! Прости же!
Глаза твои премудры и пречисты!

",[]
150,9,"

Тут хор детей возник невдалеке:
Наш номер был объявлен.
Уста младенцев. Жуть.
Мы - яблочки от яблонь.
Вот наша месть и суть.

Вниманье! Детский лепет.
Мы вас не подведем.
Не зря великолепен
камин, согревший дом.

В лопатках - холод милый
и острия двух крыл.
Нам кожу алюминий,
как изморозь, покрыл.

Чтоб было жить не скучно,
нас трогает порой
искусствочко, искусство,
ребеночек чужой.

Дождливость есть оплошность
пустых небес. Ура!
О пошлость, ты не подлость,
ты лишь уют ума.

От боли и от гнева
ты нас спасешь потом.
Целуем, королева,
твой бархатный подол!

",[]
151,10,"

Лень, как болезнь, во мне смыкала круг.
Мое плечо вело чужую руку.
Я, как птенца, в ладони грела рюмку.
Попискивал ее открытый клюв.

Хозяюшка, вы ощущали груда,
над мальчиком, заснувшим спозаранку,
в уста его, в ту алчущую ранку,
отравленную проливая грудь?

Вдруг в нем, как в перламутровом яйце,
спала пружина музыки согбенной?
Как радуга - в бутоне краски белой?
Как тайный мускул красоты - в лице?

Как в Сашеньке - непробужденный Блок?
Медведица, вы для какой забавы
в детеныше влюбленными зубами
выщелкивали бога, словно блох?

",[]
152,11,"

Хозяйка налила мне коньяка:
- Вас лихорадит. Грейтесь у камина. -
Прощай, мой Дождь!
Как весело, как мило
принять мороз на кончик языка!

Как крепко пахнет розой от вина!
Вино, лишь ты ни в чем не виновато.
Во мне расщеплен атом винограда,
во мне горит двух разных роз война.

Вино мое, я твой заблудший князь,
привязанный к двум деревам склоненным.
Разъединяй! Не бойся же! Со звоном
меня со мной пусть разлучает казнь!

Я делаюсь все больше, все добрей!
Смотрите - я уже добра, как клоун,
вам в ноги опрокинутый поклоном!
Уж тесно мне средь окон и дверей!

О господи, какая доброта!
Скорей! Жалеть до слез! Пасть на колени!
Я вас люблю! Застенчивость калеки
бледнит мне щеки и кривит уста.

Что сделать мне для вас хотя бы раз?
Обидьте! Не жалейте, обижая!
Вот кожа моя - голая, большая:
как холст для красок, чист простор для ран!

Я вас люблю без меры и стыда!
Как небеса, круглы мои объятья.
Мы из одной купели. Все мы братья.
Мой мальчик, Дождь! Скорей иди сюда!

",[]
153,12,"

Прошел по спинам быстрый холодок.
В тиши раздался страшный крик хозяйки.
И ржавые, оранжевые знаки
вдруг выплыли на белый потолок.

И - хлынул Дождь! Его ловили в таз.
В него впивались веники и щетки.
Он вырывался. Он летел на щеки,
прозрачной слепотой вставал у глаз.

Отплясывал нечаянный канкан.
Звенел, играя с хрусталем воскресшим.
Дом над Дождем уж замыкал свой скрежет,
как мышцы обрывающий капкан.

Дождь с выраженьем ласки и тоски,
паркет марая, полз ко мне на брюхе.
В него мужчины, поднимая брюки,
примерившись, вбивали каблуки.

Его скрутили тряпкой половой
и выжимали, брезгуя, в уборной.
Гортанью, вдруг охрипшей и убогой,
кричала я:
-Не трогайте! Он мой!

Он был живой, как зверь или дитя.
О, вашим детям жить в беде и муке!
Слепые, тайн не знающие руки
зачем вы окунули в кровь Дождя?

Хозяин дома прошептал:
- Учти,
еще ответишь ты за эту встречу! -
Я засмеялась:
- Знаю, что отвечу.
Вы безобразны. Дайте мне пройти.

",[]
154,13,"

Пугал прохожих вид моей беды.
Я говорила:
- Ничего. Оставьте.
Пройдет и это. -
На сухом асфальте
я целовала пятнышко воды.

Земли перекалялась нагота,
и горизонт вкруг города был розов.
Повергнутое в страх Бюро прогнозов
осадков не сулило никогда.

",[]
155,ОЗНОБ,"

Хвораю, что ли, - третий день дрожу,
как лошадь, ожидающая бега.
Надменный мой сосед по этажу
и тот вскричал:
- Как вы дрожите, Белла!

Но образумьтесь! Странный ваш недуг
колеблет стены и сквозит повсюду.
Моих детей он воспаляет дух
и по ночам звонит в мою посуду.

Ему я отвечала:
-Я дрожу
все более - без умысла худого.
А впрочем, передайте этажу,
что вечером я ухожу из дома.

Но этот трепет так меня трепал,
в мои слова вставлял свои ошибки,
моей ногой приплясывал, мешал
губам соединиться для улыбки.

Сосед мой, перевесившись в пролет,
следил за мной брезгливо, но без фальши.
Его я обнадежила:
- Пролог
вы наблюдали. Что-то будет дальше?

Моей болезни не скучал сюжет!
В себе я различала, взглядом скорбным,
мельканье диких и чужих существ,
как в капельке воды под микроскопом.

Все тяжелей меня хлестала дрожь,
вбивала в кожу острые гвоздочки.
Так по осине ударяет дождь,
наказывая все ее листочки.

Я думала: как быстро я стою!
Прочь мускулы несутся и резвятся!
Мое же тело, свергнув власть мою,
ведет себя свободно и развязно.

Оно все дальше от меня! А вдруг
оно исчезнет вольно и опасно,
как ускользает шар из детских рук
и ниточку разматывает с пальца?

Все это мне не нравилось.
Врачу
сказала я, хоть перед ним робела:
- Я, знаете, горда и не хочу
сносить и впредь непослушанье тела.

Врач объяснил:
-Ваша болезнь проста.
Она была б и вовсе безобидна,
но ваших колебаний частота
препятствует осмотру - вас не видно.

Вот так, когда вибрирует предмет
и велика его движений малость,
он зрительно почти сведен на нет
и выглядит, как слабая туманность.

Врач подключил свой золотой прибор
к моим предметам неопределенным,
и острый электрический прибой
охолодил меня огнем зеленым.

И ужаснулись стрелка и шкала!
Взыграла ртуть в неистовом подскоке!
Последовал предсмертный всплеск стекла,
и кровь из пальцев высекли осколки.

Встревожься, добрый доктор, оглянись!
Но он, не озадаченный нимало,
провозгласил:
- Ваш бедный организм
сейчас функционирует нормально.

Мне стало грустно. Знала я сама
свою причастность к этой высшей норме.
Не умещаясь в узости ума,
плыл надо мной ее чрезмерный номер.

И, многозначной цифрою мытарств
наученная, нервная система,
пробившись, как пружины сквозь матрац,
рвала мне кожу и вокруг свистела.

Уродующий кисть огромный пульс
всегда гудел, всегда хотел на волю.
В конце концов казалось: к черту! Пусть
им захлебнусь, как Петербург Невою!

А по ночам - мозг навострится, ждет.
Слух так открыт, так взвинчен тишиною,
что скрипнет дверь иль книга упадет,
и - взрыв! и - все! и - кончено со мною!

Да, я не смела укротить зверей,
в меня вселенных, жрущих кровь из мяса.
При мне всегда стоял сквозняк дверей!
При мне всегда свеча, вдруг вспыхнув, гасла!

В моих зрачках, нависнув через край,
слезы светлела вечная громада.
Я - все собою портила! Я - рай
растлила б грозным неуютом ада.

Врач выписал мне должную латынь,
и с мудростью, цветущей в человеке,
как музыку по нотным запятым,
ее читала девушка в аптеке.

И вот теперь разнежен весь мой дом
целебным поцелуем валерьяны,
и медицина мятным языком
давно мои зализывает раны.

Сосед доволен, третий раз подряд
он поздравлял меня с выздоровленьем
через своих детей и, говорят,
хвалил меня пред домоуправленьем.

Я отдала визиты и долги,
ответила на письма. Я гуляю,
особо, с пользой делая круги.
Вина в шкафу держать не позволяю.

Вокруг меня - ни звука, ни души.
И стол мой умер и под пылью скрылся.
Уставили во тьму карандаши
тупые и неграмотные рыльца.

И, как у побежденного коня,
мой каждый шаг медлителен, стреножен.
Все хорошо! Но по ночам меня
опасное предчувствие тревожит.

Мой врач еще меня не уличил,
но зря ему я голову морочу,
ведь все, что он лелеял и лечил,
я разом обожгу иль обморожу.

Я, как улитка в костяном гробу,
спасаюсь слепотой и тишиною,
но, поболев, пощекотав во лбу,
рога антенн воспрянут надо мною.

О звездопад всех точек и тире,
зову тебя, осыпься! Пусть я сгину,
подрагивая в чистом серебре
русалочьих мурашек, жгущих спину!

Ударь в меня, как в бубен, не жалей,
озноб, я вся твоя! Не жить нам розно!
Я - балерина музыки твоей!
Щенок озябший твоего мороза!

Пока еще я не дрожу, о, нет,
сейчас о том не может быть и речи.
Но мой предусмотрительный сосед
уже со мною холоден при встрече.

",[]
156,ПРИКЛЮЧЕНИЕ,"
<",[]
157,В АНТИКВАРНОМ МАГАЗИНЕ,"

Зачем? - да так, как входят в глушь осин,
для тишины и праздности гулянья, -
не ведая корысти и желанья,
вошла я в антикварный магазин.

Недобро глянул старый антиквар.
Когда б он не устал за два столетья
лелеять нежной ветхости соцветья,
он вовсе б мне дверей не открывал.

Он опасался грубого вреда
для слабых чаш и хрусталя больного.
Живая подлость возраста иного
была ему враждебна и чужда.

Избрав меня меж прочими людьми,
он кротко приготовился к подвоху,
и ненависть, мешающая вздоху,
возникла в нем с мгновенностью любви.

Меж тем искала выгоды толпа,
и чужеземец, мудростью холодной,

вникал в значенье люстры старомодной
и в руки брал бессвязный хор стекла.

Недосчитавшись голоска одной,
в былых балах утраченной подвески,
на грех ее обидевшись по-детски,
он заскучал и захотел домой.

Печальную пылинку серебра
влекла старуха из глубин юдоли,
и тяжела была ее ладони
вся невесомость быта и добра.

Какая грусть - средь сумрачных теплиц
разглядывать осеннее предсмертье
чужих вещей, воспитанных при свете
огней угасших и минувших лиц.

И вот тогда, в открывшейся тиши,
раздался оклик запаха и цвета:
ко мне взывал и ожидал ответа
невнятный жест неведомой души.

Знакомой боли маленький горнист
трубил, словно в канун стихосложенья, -
так требует предмет изображенья,
и ты бежишь, как верный пес на свист.

Я знаю эти голоса ничьи.
О плач всего, что хочет быть воспето!
Навзрыд звучит немая просьба эта,
как крик: - Спасите! - грянувший в ночи.

Отчаявшись, до крайности дойдя,
немое горло просьбу излучало.
Я ринулась на зов, и для начала
сказала я: - Не плачь, мое дитя.

-Что вам угодно? - молвил антиквар. -
Здесь все мертво и не способно к плачу. -
Он, все еще надеясь на удачу,
плечом меня теснил и оттирал.

Сведенные враждой, плечом к плечу
стояли мы. Я отвечала сухо:
- Мне, ставшею открытой раной слуха,
угодно слышать все, что я хочу.

- Ступайте прочь! - он гневно повторял.
Н вдруг, средь слабоумия сомнений,
в уме моем сверкнул случайно гений
и выпалил: - Подайте тот футляр!

- Тот ларь? - Футляр. - Фонарь? - Футляр!
                                        - Фуляр?
-Помилуйте, футляр из черной кожи. -
Он бледен стал и закричал: - О боже!
Все, что хотите, но не тот футляр.

Я вас прошу, я заклинаю вас!
Вы молоды, вы пахнете бензином!
Ступайте к современным магазинам,
где так велик ассортимент пластмасс.

- Как это мило с вашей стороны, -
сказала я, - я не люблю пластмассы.
Он мне польстил: - Вы правы и прекрасны.
Вы любите непрочность старины.

Я сам служу ее календарю.
Вот медальон, и в нем портрет ребенка.
Минувший век. Изящная работа.
И все это я вам теперь дарю.

...Печальный ангел с личиком больным.
Надземный взор. Прилежный лоб и локон.
Гроза в июне. Воспаленье в легком.
И тьма небес, закрывшихся за ним...

- Мне горестей своих не занимать,
а вы хотите мне вручить причину
оплакивать всю жизнь его кончину
и в горе обезумевшую мать?

- Тогда сервиз на двадцать шесть персон! -
воскликнул он, надеждой озаренный. -
В нем сто предметов ценности огромной.
Берите даром - и вопрос решен.

-Какая щедрость и какой сюрприз!
Но двадцать пять моих гостей возможных
всегда в гостях, в бегах неосторожных.
Со мной одной соскучится сервиз.

Как сто предметов я могу развлечь?
Помилуй бог, мне не по силам это.
Нет, я ценю единственность предмета,
вы знаете, о чем веду я речь.

-Как я устал! - промолвил антиквар. -
Мне двести лет. Моя душа истлела.
Берите все! Мне все осточертело!
Пусть все мое теперь уходит к вам.

И он открыл футляр. И на крыльцо
из мглы сеней, на долю из темницы
явился свет, и опалил ресницы,
и это было женское лицо.

Не по чертам его - по черноте, -
сжегшей ум, по духоте пространства
я вычислила, сколь оно прекрасно,
еще до зренья, в первой слепоте.

Губ полусмехом, полумраком глаз
лицо ее внушало мысль простую:
утратить разум, кануть в тьму пустую,
просить руки, проситься на Кавказ.

Там - соблазнить ленивого стрелка
сверкающей открытостью затылка,
раз навсегда - и все. Стрельба затихла,
и в небе то ли бог, то ль облака.

-Я молод был сто тридцать лет назад. -
проговорился антиквар печальный. -
Сквозь зелень лиц, по желтизне песчаной
я каждый день ходил в тот дом и сад.

О, я любил ее не первый год,
целуя воздух и каменья сада,
когда проездом - в ад или из ада -
вдруг объявился тот незваный гость.

Вы Ганнибала помните? Мастак
он был в делах, достиг чинов немалых,
но я о том, что правнук Ганнибалов
случайно оказался в тех местах.

Туземным мраком горячо дыша,
он прыгнул в дверь. Вое вмиг переместилось.
Прислуга, как в грозу, перекрестилась.
И обмерла тогда моя душа.

Чужой сквозняк ударил по стеклу.
Шкаф отвечал разбитою посудой.
Повеяло паленым и простудой.
Свеча погасла. Гость присел к столу.

Когда же вновь затеяли огонь,
склонившись к ней, перемешавшись разом,
он всем опасным африканским рабством
потупился, как укрощенный конь.

Я ей шепнул: - Позвольте, он урод.
Хоть ростом скромен, и на том спасибо.
-Вы думаете? - так она спросила. -
Мне кажется, совсем наоборот.

Три дня гостил, весь кротость, доброта,
любой совет считал себе приказом.
А уезжая, вольно пыхнул глазом
и засмеялся красным пеклом рта.

С тех пор явился горестный намек
в лице ее, в его простом порядке.
Над непосильным подвигом разгадки
трудился лоб, а разгадать не мог.

Когда из сна, из глубины тепла
всплывала в ней незрячая улыбка,
она пугалась, будто бы ошибка
лицом ее допущена была.

Но нет, я не уехал на Кавказ,
Я сватался. Она мне отказала.
Не изменив намерений нимало,
я сватался второй и третий раз.

В столетье том, в тридцать седьмом году,
по-моему, зимою, да, зимою,
она скончалась, не послав за мной))
без видимой причины и в бреду.

Бессмертным став от горя и любви,
я ведаю этим ничтожным храмом,
толкую с хамом и торгую хламом,
затерянный меж богом и людьми.

Но я утешен мнением молвы,
что все-таки убит он на дуэли.
- Он не убит, а вы мне надоели, -
сказала я, - хоть не виновны вы.

Простите мне желание руки
владеть и взять. Поделим то и это.
Мне - суть предмета, вам - краса портрета:
в награду, в месть, в угоду, вопреки.

Старик спросил: - Я вас не вверг в печаль
признаньем в этих бедах небывалых?
-Нет, вспомнился мне правнук Ганнибалов, -
сказала я, - мне лишь его и жаль.

А если вдруг, вкусивший всех наук,
читатель мой заметит справедливо:
- Все это ложь, изложенная длинно. -
Отвечу я: - Конечно, ложь, мой друг.

Весьма бы усложнился трезвый быт,
когда б так поступали антиквары,
и жили вещи, как живые твари,
а тот, другой, был бы и впрямь убит.

Но нет, портрет живет в моем дому!
И звон стекла! И лепет туфель бальных!
И мрак свечей! И правнук Ганнибалов
к сему причастен - судя по всему.

",[]
158,ГЛАВА ИЗ ПОЭМЫ,"

",[]
159,I,"

Начну издалека, не здесь, а там,
начну с конца, но он и есть начало.
Был мир как мир. И это означало
все, что угодно в этом мире вам.

В той местности был лес, как огород, -
так невелик и все-таки обширен.
Там, прихотью младенческих ошибок,
все было так и все наоборот.

На маленьком пространстве тишины
был дом как дом. И это означало,
что женщина в нем головой качала
и рано были лампы зажжены.

Там труд был легок, как урок письма,
и кто-то - мы еще не знали сами -
замаливал один пред небесами
наш грех несовершенного ума.

В том равновесье меж добром и злом
был он повинен. И земля летела
неосторожно, как она хотела,
пока свеча горела над столом.

Прощалось и невежде и лгуну -
какая разница? - пред белым светом,
позволив нам не хлопотать об этом,
он искупал всеобщую вину.

Когда же им оставленный пробел
возник над миром, около восхода,
толчком заторможенная природа
переместила тяжесть наших тел.

Объединенных бедною гурьбой,
врасплох нас наблюдала необъятность,
и наших недостоинств неприглядность
уже никто не возмещал собой.

В тот дом езжали многие. И те
два мальчика в рубашках полосатых
без робости вступали в палисадник
с малиною, темневшей в темноте.

Мне доводилось около бывать,
но я чужда привычке современной
налаживать контакт несоразмерный,
в знакомстве быть и имя называть.

По вечерам мне выпадала честь
смотреть на дом и обращать молитву
на дом, на палисадник, на малину-
то имя я не смела произнесть.

Стояла осень, и она была
лишь следствием, но не залогом лета.
Тогда еще никто не знал, что эта
окружность года не была кругла.

Сурово избегая встречи с ним,
я шла в деревья, в неизбежность встречи,
в простор его лица, в протяжность речи...
Но рифмовать пред именем твоим?
О, нет.

",[]
160,II,"

Он утверждал: ""Между теплиц
и льдин, чуть-чуть южнее рая,
на детской дудочке играя,
живет вселенная вторая
и называется - Тифлис"".

Ожог глазам, рукам - простуда,
любовь моя, мой плач - Тифлис!
Природы вогнутый карниз,
где бог капризный, впав в каприз,
над миром примостил то чудо.

Возник в моих глазах туман,
брала разбег моя ошибка,
когда тот город зыбко-зыбко
лег полукружьем, как улыбка
благословенных уст Тамар.

Не знаю, для какой потехи
сомкнул он надо мной овал,
поцеловал, околдовал
на жизнь, на смерть и наповал-
быть вечным узником Метехи.

О, если бы из вод Куры
не пить мне!
И из вод Арагвы
не пить!

И сладости отравы
не ведать!
И лицом в те травы.
не падать!

И вернуть дары,
что ты мне, Грузия, дарила!
Но поздно! Уж отпит глоток,
и вечен хмель, и видит бог,
что сон мой о тебе - глубок,
как Алазанская долина.

",[]
161,ЛУГ ЗЕЛЕНЫЙ,"

Текст к телевизионному фильму
режиссера А. Ремиашвили ""Луг зеленый"".
За кадром читала Б. Ахмадулина.

",[]
162,ВСТУПЛЕНИЕ,"

Еще не рассвело во мгле экрана.
Как чистый холст, он ждет поры своей.
Пустой экран увидеть так же странно,
как услыхать безмолвную свирель.

Но в честь того, что есть луга с росою,
экран зажжется, расцветут холсты.
Вся наша жизнь - свиданье с красотою
и бесконечный поиск красоты.

",[]
163,ГОРОД,"

О зритель, ты бывал в Тбилиси?
Там в пору наших холодов
цветут растения в теплице
проспектов, улиц и садов.

Там ты найдешь друзей надежных.
Пусть дружба их тебя хранит.
Там жил да был один Художник...

",[]
164,МАСТЕРСКАЯ,"

Понаблюдаем за экраном,
а холст пусть ждет своей поры,
как будто мы в игру играем,
и вот Вам правила игры.

Поверьте мне, как я Вам верю,
И следуйте за мной теперь.
Есть тайна за запретной дверью,
а мы откроем эту дверь,

Войдем в простор чужих владений!
Художник наш вот-вот заснет.
Вы - зрители его видений,
а я в них - Ваш экскурсовод.

Заснул Художник. Холст не начат,
меж тем идет куда-то он.
Что это значит? Это значит,
что наш Художник входит в сон.

А нам, по волшебству кино,
увидеть сон его дано.

",[]
165,ЗЕЛЕНЫЙ ЛУГ,"

Зеленый луг - всему начало,
он - всех, кто есть, и все ж - ничей.
И, музыку обозначая,
растет цветок-виолончель.

Смотрите, глаз не отрывая!
Трамвай - по лугу? Вздор какой!
Наверно, слышит звон трамвая
Художник, спящий в мастерской?

Все это - не на самом деле.
У сновидений свой закон.
Но по проспекту Руставели
Вам этот человек знаком.

Зачем он здесь - для нас загадка.
Мы разгадаем этот кадр.
Нет музыки без музыканта
и, значит, это - музыкант.

Пусть он не видит в этом смысла.
Он странен и чудаковат.
Он так Художнику приснился
и в этом он не виноват.

Художник то стоит, то ходит,
коль он не хочет рисовать,
а музыкант играть не хочет,
я перестану рифмовать.

Но в чем же смысл, и выход где же?
Не верьте! Это пустяки.
Рука поэтов пишет реже,
чем их душа творит стихи.

Порой искусство-это доблесть
до времени не взять смычка
иль ждать, пока созреет образ,
сокрытый в глубине зрачка.

",[]
166,ДЕВУШКА,"

Художник смотрит в даль пространства.
А истина - близка, проста.
Ее лицо вовек прекрасно.
В ней - весть любви, в ней - суть холста.

Взгляните, сколько красок дивных
таит в себе обычный день.
Вершат свой вечный поединок
Художник и его модель.

Их завершенный холст рассудит,
мне этот труд не по плечу.
Играет этот, тот рисует,
Вы смотрите, а я - молчу.

Зачем часы? Затем, наверно,
что даже в забытья своем
мы все во времени живем
и слышим: к нам взывает время.

Любой - его должник и должен
долг времени отдать трудом,
и наше назначенье в том,
и ты рисуй, рисуй, художник

Уже струна от натяженья
устала. Музыкант, играй!
Прилежный маленький трамвай,
трудись, не прерывай движенья!

Расчетом суетного жеста
не вникнуть в тайну красоты.
Неисчислимо совершенство.
Художник, опрометчив ты.

Ты зря моим речам не внемлешь.
Взгляни на Девушку. Она -
твое прозрение, и в ней лишь
гармония воплощена.

Постигло истину простую
тех древних зодчих мастерство.
Ну, что же, чем сложней раздумье,
тем проще вывод из него.

Вот наш знакомый. Он, во-первых, -
садовник, во-вторых, влюблен,
и, значит, в-третьих, он - соперник
того, кому приснился он.

Не знает он, что это - Муза.
Художник ждет ее давно.
В нерасторжимость их союза
нам всем вмешаться не дано.

Как бескорыстная копилка,
вбирает сон событья дня.
Но в шутке этого конфликта
Вы разберетесь без меня.

И без меня героям тесно
на этом маленьком лугу.
Вам не наскучил автор текста?
Вот он умолк - и ни гу-гу.

",[]
167,ГОРОД,"

Привет Вам! Снова все мы в сборе,
но нет ни луга, ни травы.
Художник и Садовник в ссоре,
зато не в ссоре я и Вы.

Надеюсь, Вас не раздражает,
что луг сменился мостовой?
Любой исконный горожанин
во сне вернется в городовой.

Чужие сны мы редко смотрим.
Пусть это спорно и смешно -
мы посмеемся и поспорим,
когда окончится кино.

А это кто еще со стулом?
Пока Художник не заснул,
он видел стул. Потом заснул он
и вновь увидел тот же стул.

И наши с Вами сновиденья
порой запутаны, сложны,
а сны Художника цветнее,
диковинней, чем наши сны.

Поэтому, без колебанья,
Вас заклинаю, как друзей:
завидев в кадре надпись ""Баня"",
Вы ни на миг не верьте ей.

Как эпизод ни странен, я бы
сказала: суть его проста!
Здесь только вывеска - от яви,
все остальное-прихоть сна.

Когда Художник холст затеял,
он видел струны и смычок.
Был в памяти его затерян
оркестр, печальный, как сверчок.

Приснился он совсем не к месту -
сверчок, забывший свой шесток.
Оплошность мы простим оркестру
за то, что музыку исторг.

Сомненья лишние отбросьте,
не так загадка мудрена, -
мы в сне чужом всего лишь гостя
и наше дело сторона.

Лик. А Художник ищет блика.
Бывало ль с Вами то, что с ним?
Порой прекрасное так близко,
а мы зачем-то вдаль глядим.

",[]
168,МОРЕ,"

Погрезим о морском просторе!
Там синь, сиянье, там весна.
Хоть в сне чужом увидеть море -
и то заманчиво весьма.

А вот и добрый друг растений,
жарой полуденной томим.
Он, кажется, и сам растерян,
что снится именно таким.

Зачем он согласился сняться?
Ах, беспокойство, маета!
Причем здесь лошадь и возница?
И форм античных чистота?

",[]
169,СКУЛЬПТУРА,"

Друзья, победа и блаженство!
О сновиденья произвола
Художник ищет совершенства--
неужто он его нашел?

Удел художникам поэта
наверно именно таков:
у классики просить совета,
ответа ждать от мастеров,

Разъятая на части цельность-
лишь символ творческих невзгод.
Художник ищет драгоценность
гармонии - и он найдет.

Прекрасный, цельный образ мира
взойдет пред ним когда-нибудь.
Боюсь, что я Вас утомила.
Позвольте мне передохнуть.

",[]
