,Фамилия,Имя,Отчество,Название,Текст,Год
280,Лермонтов,Михаил,Юрьевич,Русская песня,"
1
Клоками белый снег валится,Что ж дева красная боится С крыльца сойти Воды снести?Как поп, когда он гроб несет,Так песнь мятелица поет, Играет,И у тесовых у воротДворовый пес все цепь грызет И лает. 


 2
Но не собаки лай печальный,Не вой мятели погребальный,Рождают страхВ ее глазах:Недавно милый схоронён,Бледней снегов предстанет онИ скажет:Ты изменила - ей в лицо,И ей заветное кольцоПокажет.
 ",
281,Лермонтов,Михаил,Юрьевич,Сабуровой (Как? вы поэта огорчили...),"


Как? вы поэта огорчили
И не наказаны потом?
Три года ровно вы шутили
Его любовью и умом?
Нет! вы не поняли поэта,
Его души печальный сон;
Вы небом созданы для света,
Но не для вас был создан он!.. ",1831
282,Лермонтов,Михаил,Юрьевич,Св. Елена,"


Почтим приветом остров одинокой,
Где часто, в думу погружен,
На берегу о Франции далекой
Воспоминал Наполеон!
Сын моря, средь морей твоя могила!
Вот мщение за муки стольких дней!
Порочная страна не заслужила,
Чтобы великий жизнь окончил в ней.


Изгнанник мрачный, жертва вероломства
И рока прихоти слепой,
Погиб, как жил – без предков и потомства
Хоть побежденный, но герой!
Родился он игрой судьбы случайной,
И пролетел, как буря, мимо нас;
Он миру чужд был. Все в нем было тайной,
День возвышенья – и паденья час! ",1831
283,Лермонтов,Михаил,Юрьевич,* * *,"


Свершилось! полно ожидать
Последней встречи и прощанья!
Разлуки час и час страданья
Придут – зачем их отклонять!
Ах, я не знал, когда глядел
На чудные глаза прекрасной,
Что час прощанья, час ужасный,
Ко мне внезапно подлетел.
Свершилось! голосом бесценным
Мне больше сердца не питать,
Запрусь в углу уединенном
И буду плакать... вспоминать! ",1830
284,Лермонтов,Михаил,Юрьевич,Свиданье,"
1 
Уж за горой дремучею Погас вечерний луч, Едва струей гремучею Сверкает жаркий ключ; 
Сады благоуханием Наполнились живым, Тифлис объят молчанием, В ущельи мгла и дым. 
Летают сны мучители Над грешными людьми, И ангелы хранители Беседуют с детьми. 
 2 
Там за твердыней старою На сумрачной горе Под свежею чинарою Лежу я на ковре. 
Лежу один и думаю: Ужели не во сне Свиданье в ночь угрюмую Назначила ты мне? 
И в этот час таинственный, Но сладкий для любви, Тебя, мой друг единственный, Зовут мечты мои. 
 3 
Внизу огни дозорные Лишь на мосту горят, И колокольни черные Как сторожи стоят; 
И поступью несмелою Из бань со всех сторон Выходят цепью белою Четы грузинских жен; 
Вот улицей пустынною Бредут, едва скользя... Но под чадрою длинною Тебя узнать нельзя!... 
 4 
Твой домик с крышей гладкою Мне виден вдалеке; Крыльцо с ступенью шаткою Купается в реке; 
Среди прохлады веющей Над синею Курой Он сетью зеленеющей Опутан плющевой; 
За тополью высокою Я вижу там окно.... Но свечкой одинокою Не светится оно! 
 5 
Я жду. В недоумении Напрасно бродит взор: Кинжалом в нетерпении Изрезал я ковер; 
Я жду с тоской бесплодною, Мне грустно, тяжело.... Вот сыростью холодною С востока понесло, 
Краснеют за туманами Седых вершин зубцы, Выходят с караванами Из города купцы... 
 6 
Прочь, прочь, слеза позорная, Кипи, душа моя! Твоя измена черная Понятна мне, змея! 
Я знаю, чем утешенный По звонкой мостовой Вчера скакал как бешеный Татарин молодой. 
Не даром он красуется Перед твоим окном, И твой отец любуется Персидским жеребцом. 
 7 
Возьму винтовку длинную, Пойду я из ворот: Там под скалой пустынною Есть узкий поворот. 
До полдня за могильною Часовней подожду И на дорогу пыльную Винтовку наведу. 
Напрасно грудь колышется! Я лег между камней; Чу! близкий топот слышится... А! это ты, злодей! -
 ",
285,Лермонтов,Михаил,Юрьевич,Сентября 28,"


Опять, опять я видел взор твой милый,
Я говорил с тобой.
И мне былое, взятое могилой,
Напомнил голос твой.
К чему?– другой лобзает эти очи
И руку жмет твою.
Другому голос твой во мраке ночи
Твердит: люблю! люблю!


Откройся мне: ужели непритворны
Лобзания твои?
Они правам супружества покорны,
Но не правам любви;
Он для тебя не создан; ты родилась
Для пламенных страстей.
Отдав ему себя, ты не спросилась
У совести своей.


Он чувствовал ли трепет потаенный
В присутствии твоем;
Умел ли презирать он мир презренный,
Чтоб мыслить об одном;
Встречал ли он с молчаньем и слезами
Привет холодный твой,
И лучшими ль он жертвовал годами
Мгновениям с тобой?


Нет! я уверен, твоего блаженства
Не может сделать тот,
Кто красоты наружной совершенства
Одни в тебе найдет.
Так! ты его не любишь... тайной властью
Прикована ты вновь
К душе печальной, незнакомой счастью,
Но нежной, как любовь.


28 сентября 
 ",1831
286,Лермонтов,Михаил,Юрьевич,* * *,"


Сижу я в комнате старинной
Один с товарищем моим,
Фонарь горит, и тенью длинной
Пол омрачен. Как легкий дым,
Туман окрестность одевает,
И хладный ветер по листам
Высоких лип перебегает.
Я у окна. Опасно нам
Заснуть.— А как узнать? быть может,
Приход нежданный нас встревожит!
Готов мой верный пистолет,
В стволе свинец, на полке порох.
У двери слушаю... чу!— шорох
В развалинах... и крик!— но нет!
То мышь летучая промчалась,
То птица ночи испугалась!
На темной синеве небес
Луна меж тучками ныряет.
Спокоен я. Душа пылает
Отвагой: ни мертвец, ни бес,
Ничто меня не испугает.
Ничто... волшебный талисман
Я на груди ношу с тоскою;
Хоть не твоей любовью дан,
Он освящен твоей рукою! ",1831
287,Лермонтов,Михаил,Юрьевич,Силуэт,"


Есть у меня твой силуэт,
Мне мил его печальный цвет;
Висит он на груди моей,
И мрачен он, как сердце в ней.


В глазах нет жизни и огня,
Зато он вечно близ меня;
Он тень твоя, но я люблю,
Как тень блаженства, тень твою. ",1831
288,Лермонтов,Михаил,Юрьевич,"Синие горы Кавказа, приветствую вас!..","
Синие горы Кавказа, приветствую вас! вы взлелеяли детство мое; вы носили меня на своих одичалых хребтах, облаками меня одевали, вы к небу меня приучили, и я с той поры все мечтаю об вас да о небе. Престолы природы, с которых как дым улетают громовые тучи, кто раз лишь на ваших вершинах творцу помолился, тот жизнь презирает, хотя в то мгновенье гордился он ею!.. 


--- 
Часто во время зари я глядел на снега и далекие льдины утесов; они так сияли в лучах восходящего солнца, и в розовый блеск одеваясь, они, между тем как внизу все темно, возвещали прохожему утро. И розовый цвет их подобился цвету стыда: как будто девицы, когда вдруг увидят мужчину купаясь, в таком уж смущеньи, что белой одежды накинуть на грудь не успеют. 
Как я любил твои бури, Кавказ! те пустынные громкие бури, которым пещеры как стражи ночей отвечают!... На гладком холме одинокое дерево, ветром, дождями нагнутое, иль виноградник, шумящий в ущелье, и путь неизвестный над пропастью, где, покрываяся пеной, бежит безымянная речка, и выстрел нежданный, и страх после выстрела: враг ли коварный иль просто охотник... все, все в этом крае прекрасно. 


--- 
Воздух там чист, как молитва ребенка;И люди как вольные птицы живут беззаботно;Война их стихия; и в смуглых чертах их душа говорит.В дымной сакле, землей иль сухим тростникомПокровенной, таятся их жены и девы и чистят оружье,И шьют серебром - в тишине увядаяДушою - желающей, южной, с цепями судьбы незнакомой.
 ",
289,Лермонтов,Михаил,Юрьевич,"Склонись ко мне, красавец молодой!..","
1
Склонись ко мне, красавец молодой!Как ты стыдлив! - ужели в первый разГрудь женскую ласкаешь ты рукой?В моих объятьях вот уж целый часЛежишь - а страха все не превозмог.....Не лучше ли у сердца, чем у ног?Дай мне одну минуту в жизнь свою..Что злато? - я тебя люблю, люблю!... 
 2
Ты так хорош! - бывало жду, когдаНастанет вечер, сяду у окна...И мимо ты идешь, бывало, да, -Ты помнишь? - Серебристая луна,Как ангел средь отверженных, меж тучБлуждала, на тебя кидая луч,И я гордилась тем, что наконецСоперница моя небес жилец. 
 3
Печать презренья на моем челе,Но справедлив ли мира приговор? Что добродетель, если на землеПроступок не бесчестье - но позор?Поверь, невинных женщин вовсе нет,Лишь по желанью случай и предметНе вечно тут. Любить не ставит в грехТа одного, та многих - эта всех! - 
 4
Родителей не знала я своих,Воспитана старухою чужой,Не знала я веселья дней младых, -И даже не гордилась красотой;В пятнадцать лет, по воле злой судьбыЯ продана мужчине - ни мольбы,Ни слёзы не могли спасти меня.С тех пор я гибну, гибну - день от дня. 
 5
Мне мил мой стыд! он право мне даетТебя лобзать, тебя на миг одинОтторгнуть от мучительных забот! -О наслаждайся! - ты мой господин! -Хотя тебе случится, может быть,Меня в своих объятьях задушить,Блаженством смерть мне будет от тебя. -Мой друг! - чего не вынесешь любя! -
 ",
290,Лермонтов,Михаил,Юрьевич,Слава,"
К чему ищу так славы я?Известно, в славе нет блаженства,Но хочет все душа мояВо всем дойти до совершенства.Пронзая будущего мрак,Она бессильная страдаетИ в настоящем все не так,Как бы хотелось ей, встречает.Я не страшился бы суда,Когда б уверен был веками,Что вдохновенного трудаМир не обидит клеветами;Что станут верить и вниматьПовествованью горькой мукиИ не осмелятся равнятьС земным небес живые звуки.Но не достигну я ни в чемТого, что так меня тревожит:Все кратко на шару земном,И вечно слава жить не может.Пускай поэта грустный прахХвалою освятит потомство,Где ж слава в кратких похвалах?Людей известно вероломство. Другой заставит позабытьСвоею песнию высокойПевца, который кончил жить,Который жил так одинокой.
 ",
291,Лермонтов,Михаил,Юрьевич,"Слепец, страданьем вдохновенный...","


Слепец, страданьем вдохновенный,
Вам строки чудные писал,
И прежних лет восторг священный,
Воспоминаньем оживленный,
Он перед вами изливал.
Он вас не зрел, но ваши речи,
Как отголосок юных дней,
При первом звуке новой встречи
Его встревожили сильней.
Тогда признательную руку
В ответ на ваш приветный взор,
Навстречу радостному звуку
Он в упоении простер.
 И я, поверенный случайный
Надежд и дум его живых,
Я буду дорожить, как тайной,
Печальным выраженьем их.
Я верю: годы не убили,
Изгладить даже не могли
Всё, что вы прежде возбудили
В его возвышенной груди.
Но да сойдет благословенье
На вашу жизнь за то, что вы
Xоть на единое мгновенье
Умели снять венок мученья
С его преклонной головы. ",1838
292,Лермонтов,Михаил,Юрьевич,Слова разлуки повторяя...,"
Слова разлуки повторяя,Полна надежд душа твоя;Ты говоришь: есть жизнь другаяИ смело веришь ей... но я?..... 
Оставь страдальца! - будь покойна:Где б ни был этот мир святой,Двух жизней сердцем ты достойна! -А мне довольно и одной. - 
Тому ль пускаться в бесконечность,Кого измучил краткий путь? -Меня раздавит эта вечность,И страшно мне не отдохнуть! - 
Я сохранил на век былое,И нет о будущем забот,Земля взяла свое земное,Она назад не отдает!..
 ",
293,Лермонтов,Михаил,Юрьевич,* * *,"


Слышу ли голос твой
Звонкий и ласковый,
Как птичка в клетке,
Сердце запрыгает;


Встречу ль глаза твои
Лазурно–глубокие,
Душа им навстречу
Из груди просится,


И как–то весело,
И хочется плакать,
И так на шею бы
Тебе я кинулся. ",1838
294,Лермонтов,Михаил,Юрьевич,* * *,"


Смело верь тому, что вечно,
Безначально, бесконечно
Что прошло и что настанет,
Обмануло иль обманет.


Если сердце молодое
Встретит пылкое другое,
При разлуке, при свиданье
Закажи ему молчанье.


Всё на свете редко стало —
Есть надежды — счастья мало;
Не забвение разлука:
То — блаженство, это — мука.


Если счастьем дорожил ты,
То зачем его делил ты?
Для чего не жил в пустыне?
Иль об этом вспомнил ныне? ",1832
295,Лермонтов,Михаил,Юрьевич,Смерть,"
Ласкаемый цветущими мечтамиЯ тихо спал и вдруг я пробудился,Но пробужденье тоже было сон;И думая, что цепь обманчивыхВидений мной разрушена, я вдвоеОбманут был воображеньем, еслиОдно воображение творитТот новый мир, который заставляетНас презирать бесчувственную землю.Казалось мне, что смерть дыханьем хладнымУж начинала кровь мою студить;Не часто сердце билося, но крепко,С болезненным каким-то содроганьем,И тело, видя свой конец, старалосьВновь удержать души нетерпеливойПорывы, но товарищу быломуС досадою душа внимала, и укорыИх расставанье сделали печальным.Между двух жизней в страшном промежуткеНадежд и сожалений, ни об той,Ни об другой не мыслил я, одноСомненье волновало грудь мою,Последнее сомненье! я не мог Понять, как можно чувствовать блаженствоИль горькие страдания далекоОт той земли, где в первый раз я понял,Что я живу, что жизнь моя безбрежна,Где жадно я искал самопознанья,Где столько я любил и потерял,Любил согласно с этим бренным телом,Без коего любви не понимал я. -Так думал я и вдруг душой забылся,И чрез мгновенье снова жил я,Но не видал вокруг себя предметовЗемных и более не помнил яНи боли, ни тяжелых беспокойствО будущей судьбе моей и смерти:Все было мне так ясно и понятноИ ни о чем себя не вопрошал я,Как будто бы вернулся я туда,Где долго жил, где все известно мне,И лишь едва чувствительная тягостьВ моем полете мне напоминалаМое земное краткое изгнанье. 
Вдруг предо мной в пространстве бесконечномС великим шумом развернулась книгаПод неизвестною рукой, и многоНаписано в ней было, но лишь мойУжасный жребий ясно для меняНачертан был кровавыми словами:Бесплотный дух, иди и возвратисьНа землю. Вдруг пред мной исчезла книга,И опустело небо голубое;Ни ангел, ни печальный демон адаНе рассекал крылом полей воздушных,Лишь тусклые планеты, пробегая,Едва кидали искру на пути. 
Я вздрогнул, прочитав свой жребийКак? Мне лететь опять на эту землю, Чтоб увидать ряды тех зол, которымПричиной были детские ошибки?Увижу я страдания людейИ тайных мук ничтожные причиныИ к счастию людей увижу средства,И невозможно будет научить их.Но так и быть лечу на землю ПервыйПредмет могила с пышным мавзолеем,Под коим труп мой люди схоронили.И захотелось мне во гроб проникнуть,И я сошел в темницу, длинный гроб,Где гнил мой труп, и там остался я.Здесь кость была уже видна, здесь мясоКусками синее висело, жилы тамЯ примечал с засохшею в них кровью.С отчаяньем сидел я и взирал,Как быстро насекомые роилисьИ жадно поедали пищу смерти.Червяк то выползал из впадин глаз,То вновь скрывался в безобразный череп.И что же? каждое его движеньеМеня терзало судорожной болью.Я должен был смотреть на гибель друга,Так долго жившего с моей душою,Последнего, единственного друга,Делившего ее печаль и радость,И я помочь желал, но тщетно, тщетно.Уничтоженья быстрые следыТекли по нем, и черви умножались,И спорили за пищу остальную,И смрадную, сырую кожу грызли.Остались кости, и они исчезли,И прах один лежал наместо тела. 
Одной исполнен мрачною надеждой,Я припадал на бренные остатки,Стараясь их дыханием согреть,Иль оживить моей бессмертной жизнью; О сколько б отдал я тогда земныхБлаженств, чтоб хоть одну, одну минутуПочувствовать в них теплоту. Напрасно,Закону лишь послушные ониОстались хладны, хладны как презренье.Тогда изрек я дикие проклятьяНа моего отца и мать, на всех людей.С отчаяньем бессмертья долго, долго,Жестокого свидетель разрушенья,Я на творца роптал, страшась молиться,И я хотел изречь хулы на небо,Хотел сказать...Но замер голос мой, и я проснулся.
 ",
296,Лермонтов,Михаил,Юрьевич,Смерть поэта,"


Отмщенье, государь, отмщенье!
Паду к ногам твоим:
Будь справедлив и накажи убийцу,
Чтоб казнь его в позднейшие века
Твой правый суд потомству возвестила,
Чтоб видел злодеи в ней пример.


Погиб поэт!– невольник чести –
Пал, оклеветанный молвой,
С свинцом в груди и жаждой мести,
Поникнув гордой головой!..
Не вынесла душа поэта
Позора мелочных обид,
Восстал он против мнений света
Один, как прежде... и убит!
Убит!.. К чему теперь рыданья,
Пустых похвал ненужный хор
И жалкий лепет оправданья?
Судьбы свершился приговор!
Не вы ль сперва так злобно гнали
Его свободный, смелый дар
И для потехи раздували
Чуть затаившийся пожар?
Что ж? веселитесь... Он мучений
Последних вынести не мог:
Угас, как светоч, дивный гений,
Увял торжественный венок.


Его убийца хладнокровно
Навел удар... спасенья нет:
Пустое сердце бьется ровно,
В руке не дрогнул пистолет.
И что за диво?... издалека,
Подобный сотням беглецов,
На ловлю счастья и чинов
Заброшен к нам по воле рока;
Смеясь, он дерзко презирал
Земли чужой язык и нравы;
Не мог щадить он нашей славы;
Не мог понять в сей миг кровавый,
На что он руку поднимал!..


И он убит – и взят могилой,
Как тот певец, неведомый, но милый,
Добыча ревности глухой,
Воспетый им с такою чудной силой,
Сраженный, как и он, безжалостной рукой.


Зачем от мирных нег и дружбы простодушной
Вступил он в этот свет завистливый и душный
Для сердца вольного и пламенных страстей?
Зачем он руку дал клеветникам ничтожным,
Зачем поверил он словам и ласкам ложным,
Он, с юных лет постигнувший людей?..


И прежний сняв венок – они венец терновый,
Увитый лаврами, надели на него:
Но иглы тайные сурово
Язвили славное чело;
Отравлены его последние мгновенья
Коварным шепотом насмешливых невежд,
И умер он – с напрасной жаждой мщенья,
С досадой тайною обманутых надежд.
Замолкли звуки чудных песен,
Не раздаваться им опять:
Приют певца угрюм и тесен,
И на устах его печать.
_____________________


А вы, надменные потомки
Известной подлостью прославленных отцов,
Пятою рабскою поправшие обломки
Игрою счастия обиженных родов!
Вы, жадною толпой стоящие у трона,
Свободы, Гения и Славы палачи!
Таитесь вы под сению закона,
Пред вами суд и правда – всё молчи!..
Но есть и божий суд, наперсники разврата!
Есть грозный суд: он ждет;
Он не доступен звону злата,
И мысли, и дела он знает наперед.
Тогда напрасно вы прибегнете к злословью:
Оно вам не поможет вновь,
И вы не смоете всей вашей черной кровью
Поэта праведную кровь! ",1837
297,Лермонтов,Михаил,Юрьевич,Совет,"


Если, друг, тебе сгрустнется,
Ты не дуйся, не сердись:
Все с годами пронесется –
Улыбнись и разгрустись.
Дев измены молодые,
И неверный путь честей,
И мгновенья скуки злые
Стоят ли тоски твоей?


Не ищи страстей тяжелых;
И покуда бог дает,
Нектар пей часов веселых;
А печаль сама придет.
И, людей не презирая,
Не берись учить других;
Лучшим быть не вображая,
Скоро ты полюбишь их.


Сердце глупое творенье,
Но и с сердцем можно жить,
И безумное волненье
Можно также укротить...
Беден, кто, судьбы в ненастье
Все надежды испытав,
Наконец находит счастье,
Чувство счастья потеряв. ",1830
298,Лермонтов,Михаил,Юрьевич,Солнце,"
Как солнце зимнее прекрасно,Когда, бродя меж серых туч,На белые снега напрасноОно кидает слабый луч!... 
Так точно, дева молодая,Твой образ предо мной блестит;Но взор твой, счастье обещая,Мою ли душу оживит? -
 ",
299,Лермонтов,Михаил,Юрьевич,Солнце осени,"
Люблю я солнце осени, когда,Меж тучек и туманов пробираясь,Оно кидает бледный мертвый лучНа дерево, колеблемое ветром,И на сырую степь. Люблю я солнце,Есть что-то схожее в прощальном взглядеВеликого светила с тайной грустьюОбманутой любви; не холоднейОно само собою, но природаИ все, что может чувствовать и видеть,Не могут быть согреты им; так точноИ сердце: в нем все жив огонь, но людиЕго понять однажды не умели,И он в глазах блеснуть не должен вновьИ до ланит он вечно не коснется.Зачем вторично сердцу подвергатьСебя насмешкам и словам сомненья?
 ",
300,Лермонтов,Михаил,Юрьевич,Сон,"
Я видел сон: прохладный гаснул день,От дома длинная ложилась тень,Луна, взойдя на небе голубом,Играла в стеклах радужным огнем;Все было тихо как луна и ночь,И ветр не мог дремоты превозмочь.И на большом крыльце, меж двух колонн,Я видел деву; как последний сонДуши, на небо призванной, онаСидела тут пленительна, грустна;Хоть, может быть, притворная печальБлестела в этом взоре, но едва ль.Ее рука так трепетна была,И грудь ее младая так тепла;У ног ее (ребенок, может быть)Сидел... ах! рано начал он любить,Во цвете лет, с привязчивой душой.Зачем ты здесь, страдалец молодой?И он сидел и с страхом руку жал,И глаз ее движенья провожал.И не прочел он в них судьбы завет,Мучение, заботы многих лет,Болезнь души, потоки горьких слез,Все, что оставил, все, что перенес;И дорожил он взглядом тех очей,Причиною погибели своей.....
 ",
301,Лермонтов,Михаил,Юрьевич,Сон (В полдневный жар...),"


В полдневный жар в долине Дагестана
С свинцом в груди лежал недвижим я;
Глубокая еще дымилась рана,
По капле кровь точилася моя.


Лежал один я на песке долины;
Уступы скал теснилися кругом,
И солнце жгло их желтые вершины
И жгло меня – но спал я мертвым сном.


И снился мне сияющий огнями
Вечерний пир в родимой стороне.
Меж юных жен, увенчанных цветами,
Шел разговор веселый обо мне.


Но в разговор веселый не вступая,
Сидела там задумчиво одна,
И в грустный сон душа ее младая
Бог знает чем была погружена;


И снилась ей долина Дагестана;
Знакомый труп лежал в долине той;
В его груди, дымясь, чернела рана,
И кровь лилась хладеющей струей. ",1941
302,Лермонтов,Михаил,Юрьевич,Сонет,"
Я памятью живу с увядшими мечтами,Виденья прежних лет толпятся предо мной,И образ твой меж них, как месяц в час ночнойМежду бродящими блистает облаками. 
Мне тягостно твое владычество порой;Твоей улыбкою, волшебными глазамиПорабощен мой дух и скован, как цепями,Что ж пользы для меня, - я не любим тобой. 
Я знаю, ты любовь мою не презираешь;Но холодно ее молениям внимаешь;Так мраморный кумир на берегу морском 
Стоит, - у ног его волна кипит, клокочет,А он, бесчувственным исполнен божеством,Не внемлет, хоть ее отталкивать не хочет.
 ",
303,Лермонтов,Михаил,Юрьевич,Сосед,"
Погаснул день на вышинах небесных,Звезда вечерняя лиёт свой тихий свет;Чем занят бедный мой сосед?Чрез садик небольшой, между ветвей древесных,Могу заметить я, в его окнеБлестит огонь; его простая кельяЧужда забот и светского веселья,И этим нравится он мне.Прохожие об нем различно судят,И все его готовы порицать,Но их слова соседа не принудятЛампаду ранее иль позже зажигать.И только я увижу свет лампады,Сажусь тотчас у своего окна,И в этот миг таинственной отрадыДуша моя мятежная полна.И мнится мне, что мы друг друга понимаем,Что я и бедный мой сосед,Под бременем одним страдая, увядаем,Что мы знакомы с давных лет.
 ",
304,Лермонтов,Михаил,Юрьевич,Соседка,"


Не дождаться мне, видно, свободы,
А тюремные дни будто годы;
И окно высоко над землей!
И у двери стоит часовой!


Умереть бы уж мне в этой клетке,
Кабы не было милой соседки!..
Мы проснулись сегодня с зарей,
Я кивнул ей слегка головой.


Разлучив, нас сдружила неволя,
Познакомила общая доля,
Породнило желанье одно
Да с двойною решеткой окно;


У окна лишь поутру я сяду,
Волю дам ненасытному взгляду...
Вот напротив окошечко: стук!
Занавеска подымется вдруг.


На меня посмотрела плутовка!
Опустилась на ручку головка,
А с плеча, будто сдул ветерок,
Полосатый скатился платок,


Но бледна ее грудь молодая,
И сидит она, долго вздыхая,
Видно, буйную думу тая,
Все тоскует по воле, как я.


Не грусти, дорогая соседка...
Захоти лишь – отворится клетка,
И, как божии птички, вдвоем
Мы в широкое поле порхнем.


У отца ты ключи мне украдешь,
Сторожей за пирушку усадишь,
А уж с тем, что поставлен к дверям,
Постараюсь я справиться сам.


Избери только ночь потемнее,
Да отцу дай вина похмельнее,
Да повесь, чтобы ведать я мог,
На окно полосатый платок. ",1840
305,Лермонтов,Михаил,Юрьевич,* * *,"


Спеша на север издалека,
Из теплых и чужих сторон,
Тебе, Казбек, о страж востока,
Принес я, странник, свой поклон.


Чалмою белою от века
Твой лоб наморщенный увит,
И гордый ропот человека
Твой гордый мир не возмутит.


Но сердца тихого моленье
Да отнесут твои скалы
В надзвездный край, в твое владенье,
К престолу вечному аллы.


Молю, да снидет день прохладный
На знойный дол и пыльный путь,
Чтоб мне в пустыне безотрадной
На камне в полдень отдохнуть.


Молю, чтоб буря не застала,
Гремя в наряде боевом,
В ущелье мрачного Дарьяла
Меня с измученным конем.


Но есть еще одно желанье!
Боюсь сказать!– душа дрожит!
Что, если я со дня изгнанья
Совсем на родине забыт!


Найду ль там прежние объятья?
Старинный встречу ли привет?
Узнают ли друзья и братья
Страдальца, после многих лет?


Или среди могил холодных
Я наступлю на прах родной
Тех добрых, пылких, благородных,
Деливших молодость со мной?


О, если так! своей метелью,
Казбек, засыпь меня скорей
И прах бездомный по ущелью
Без сожаления развей.
 ",
306,Лермонтов,Михаил,Юрьевич,Спор,"


Как–то раз перед толпою


 Соплеменных гор
У Казбека с Шат–горою1


 Был великий спор.
«Берегись!– сказал Казбеку


 Седовласый Шат, –
Покорился человеку


 Ты недаром, брат!
Он настроит дымных келий


 По уступам гор;
В глубине твоих ущелий


 Загремит топор;
И железная лопата


 В каменную грудь,
Добывая медь и злато,


 Врежет страшный путь!
Уж проходят караваны


 Через те скалы,
Где носились лишь туманы


 Да цари–орлы.
Люди хитры! Хоть и труден


 Первый был скачок,
Берегися! многолюден


 И могуч Восток!»
«Не боюся я Востока!–


 Отвечал Казбек, –
Род людской там спит глубоко


 Уж девятый век.
Посмотри: в тени чинары


 Пену сладких вин
На узорные шальвары


 Сонный льет грузин;
И, склонясь в дыму кальяна


 На цветной диван,
У жемчужного фонтана


 Дремлет Тегеран.
Вот у ног Ерусалима,


 Богом сожжена,
Безглагольна, недвижима


 Мертвая страна;
Дальше, вечно чуждый тени,


 Моет желтый Нил
Раскаленные ступени


 Царственных могил;
Бедуин забыл наезды


 Для цветных шатров
И поет, считая звезды,


 Про дела отцов.
Все, что здесь доступно оку,


 Спит, покой ценя...
Нет! не дряхлому Востоку


 Покорить меня!»


«Не хвались еще заране!–


 Молвил старый Шат, –
Вот на севере в тумане


 Что–то видно, брат!»


Тайно был Казбек огромный


 Вестью той смущен;
И, смутясь, на север темный


 Взоры кинул он;
И туда в недоуменье


 Смотрит, полный дум:
Видит странное движенье,


 Слышит звон и шум.
От Урала до Дуная,


 До большой реки,
Колыхаясь и сверкая,


 Движутся полки;
Веют белые султаны,


 Как степной ковыль,
Мчатся пестрые уланы,


 Подымая пыль;
Боевые батальоны


 Тесно в ряд идут,
Впереди несут знамены,


 В барабаны бьют;
Батареи медным строем


 Скачут и гремят,
И, дымясь, как перед боем,


 Фитили горят.
И, испытанный трудами


 Бури боевой,
Их ведет, грозя очами,


 Генерал седой.
Идут все полки могучи,


 Шумны, как поток,
Страшно медленны, как тучи,


 Прямо на восток.
И, томим зловещей думой,


 Полный черных снов,
Стал считать Казбек угрюмый


 И не счел врагов.
Грустным взором он окинул


 Племя гор своих,
Шапку2 на брови надвинул –


 И навек затих.
 ",
