,Автор стихов,Название,Текст,Год
293,Пушкин,* * *,"

Когда ко граду 
Константина
С тобой, воинственный варяг,
Пришла славянская дружина
И развила победы стяг,
Тогда во славу 
Руси ратной,
Строптиву греку в стыд и страх,
Ты пригвоздил свой щит булатный
На цареградских воротах.

Настали дни вражды кровавой;
Твой путь мы снова обрели.
Но днесь, когда мы вновь со славой
К 
Стамбулу грозно притекли,
Твой холм потрясся с бранным гулом,
Твой стон ревнивый нас смутил,
И нашу рать перед 
Стамбулом
Твой старый щит остановил. ",1834
294,Пушкин,* * *,"

Когда порой воспоминанье
Грызет мне сердце в тишине,
И отдаленное страданье
Как тень опять бежит ко мне;
Когда, людей повсюду видя
В пустыню скрыться я хочу,
Их слабый ум возненавидя, –
Тогда забывшись я лечу
Не в светлый край, где небо блещет
Неизъяснимой синевой,
Где море теплою волной
На пожелтелый мрамор плещет,
И лавр и темный кипарис
На воле пышно разрослись,
Где пел 
Торквато величавый,
Где и теперь во мгле ночной
Далече звонкою скалой
Повторены пловца октавы.
Стремлюсь привычною мечтою
К студеным северным волнам.
Меж белоглавой их толпою
Открытый остров вижу там.
Печальный остров – берег дикой
Усеян зимнею брусникой,
Увядшей тундрою покрыт
И хладной пеною подмыт.
Сюда порою приплывает
Отважный северный рыбак,
Здесь невод мокрый расстилает
И свой разводит он очаг.
Сюда погода волновая
Заносит утлый мой челнок
…………… ",1830
295,Пушкин,* * *,"

Когда сожмешь ты снова руку,
Которая тебе дарит
На скучный путь и на разлуку
Святую 
Библию 
Харит?
Амур нашел ее в 
Цитере,
В архиве 
Шалости младой.
По ней молись своей 
Венере
Благочестивою душой.
Прости, эпикуреец мой!
Останься век, каков ты ныне,
Лети во мрачный 
Альбион!
Да сохранят тебя в чужбине
Христос и верный 
Купидон!
Неси в чужой предел 
Пената,
Но, помня прежни дни свои,
Люби недевственного брата,
Страдальца чувственной любви!
 ",1818
296,Пушкин,* * *,"

Когда так нежно, так сердечно,
Так радостно я встретил вас,
Вы удивилися, конечно,
Досадой хладно воружась.

Вечор в счастливом усыпленьи
…………. . .
Мое живое сновиденье
Ваш милый образ озарил.

С тех пор я …. слезами
Мечту прелестную зову.
Во сне был осчастливлен вами
И благодарен наяву. ",1830
297,Пушкин,* * *,"

Когда твои младые лета
Позорит шумная молва,
И ты по приговору света
На честь утратила права;

Один, среди толпы холодной,
Твои страданья я делю
И за тебя мольбой бесплодной
Кумир бесчувственный молю.

Но свет... 
Жестоких осуждений
Не изменяет он своих:
Он не карает заблуждений,
Но тайны требует для них.

Достойны равного презренья
Его тщеславная любовь
И лицемерные гоненья:
К забвенью сердце приготовь;

Не пей мутительной отравы;
Оставь блестящий, душный круг;
Оставь безумные забавы:
Тебе один остался друг. ",1829
298,Пушкин,Козак,"
Раз, полунощной порою,
 
Сквозь туман и мрак,
Ехал тихо над рекою
 
Удалой козак.
Черна шапка на бекрене,
 
Весь жупан в пыли.
Пистолеты при колене,
 
Сабля до земли.
Верный конь, узды не чуя,
 
Шагом выступал;
Гриву долгую волнуя,
Углублялся вдаль.
Вот пред ним две, три избушки, - 
 
Выломан забор;
Здесь - дорога к деревушке,
 
Там - в дремучий бор.
«
Не найду в лесу девицы, - 
 
Думал хват 
Денис: - 
Уж красавицы в светлицы
 
На ночь убрались».
Шевельнул 
Донец уздою,
 
Шпорой прикольнул,
И помчался конь стрелою,
 
К избам завернул.
В облаках луна сребрила
Дальни небеса;
Под окном сидит уныла
 
Девица-краса.
Храбрый видит красну деву;
 
Сердце бьется в нем,
Конь тихонько к леву, к леву - 
 
Вот уж под окном.
«
Ночь становится темнее,
 
Скрылася луна.
Выдь, коханочка, скорее,
 
Напои коня».
«
Нет! к мужчине молодому
 
Страшно подойти,
Страшно выдти мне из дому,
 
Коню дать воды».
«
Ax! небось, девица красна,
 
С милым подружись!»«
Ночь красавицам опасна».
 «
Радость! не страшись!
Верь, коханочка, пустое;
 
Ложный страх отбрось!
Тратишь время золотое;
 
Милая, небось!
Сядь на борзого, с тобою
В дальний еду край;
Будешь счастлива со мною:
С другом всюду рай».
Что же девица? 
Склонилась, 
 
Победила страх,
Робко ехать согласилась.
 
Счастлив стал козак.
Поскакали, полетели.
Дружку друг любил;
Был ей верен две недели,
 
В третью изменил.

 ",1814
299,Пушкин,Кокетке,"
[
И вы поверить мне могли.
Как простодушная 
Аньеса?
В каком романе вы нашли,
Чтоб умер от любви повеса?]
Послушайте: вам тридцать лет,
Да, тридцать лет - немногим боле.
Мне за двадцать; я видел свет,
Кружился долго в нем на воле;
Уж клятвы, слезы мне смешны;
Проказы утомить успели;
Вам также с вашей стороны
Измены верно надоели;
Остепенясь, мы охладели,
Не к стати нам учиться вновь.
Мы знаем: вечная любовь
Живет едва ли три недели.
С начала были мы друзья,
Но скука, случай, муж ревнивый...
Безумным притворился я,
И притворились вы стыдливой,
Мы поклялись... потом... увы!
Потом забыли клятву нашу;
Клеона полюбили вы,
А я наперсницу 
Наташу.
Мы разошлись; до этих пор
Всё хорошо, благопристойно,
Могли б мы жить без дальних ссор
Опять и дружно и спокойно;[
Но нет! сегодня поутру
Вы вдруг в трагическом жару
Седую воскресили древность -
Вы проповедуете вновь
Покойных рыцарей любовь,
Учтивый жар и грусть и ревность.
Помилуйте - нет, право нет.
Я не дитя, хоть и поэт.]
Когда мы клонимся к закату,
Оставим юный пыл страстей -
Вы старшей дочери своей,
Я своему меньшому брату:
Им можно с жизнию шалить
И слезы впредь себе готовить;
Еще пристало им любить,
А нам уже пора злословить.  ",1821
300,Пушкин,* * *,"

Колокольчики звенят,
Барабанчики гремят,
А люди–то, люди –
Ой люшеньки–люли!
А люди–то, люди
На цыганочку глядят.

А цыганочка то пляшет,
В барабанчики то бьет,
И ширинкой алой машет,
Заливается–поет:
«
Я плясунья, я певица,
Ворожить я мастерица». ",1833
301,Пушкин,Кольна,"
(
Подражание 
Oссиану)
 ",
302,Пушкин,* * *,"

Краев чужих неопытный любитель
И своего всегдашний обвинитель,
Я говорил: в отечестве моем
Где верный ум, где гений мы найдем?
Где гражданин с душою благородной,
Возвышенной и пламенно свободной?
Где женщина — не с хладной красотой,
Но с пламенной, пленительной, живой?
Где разговор найду непринужденный,
Блистательный, веселый, просвещенный?
С кем можно быть не хладным, не пустым?
Отечество почти я ненавидел —
Но я вчера 
Голицыну1 увидел
И примирен с отечеством моим. ",1832
303,Пушкин,Красавица,"

Всё в ней гармония, всё диво,
Всё выше мира и страстей;
Она покоится стыдливо
В красе торжественной своей;
Она кругом себя взирает:
Ей нет соперниц, нет подруг;
Красавиц наших бледный круг
В ее сияньи исчезает.

Куда бы ты ни поспешал,
Хоть на любовное свиданье,
Какое б в сердце ни питал
Ты сокровенное мечтанье, –
Но встретясь с ней, смущенный, ты
Вдруг остановишься невольно,
Благоговея богомольно
Перед святыней красоты. ",1821
304,Пушкин,Красавица перед зеркалом,"

Взгляни на милую, когда свое чело
Она пред зеркалом цветами окружает,
Играет локоном — и верное стекло
Улыбку, хитрый взор и гордость отражает. ",1817
305,Пушкин,"Красавице, которая нюхала табак","
Возможно ль? вместо роз, 
Амуром насажденных,[
Тюльпанов гордо наклоненных,]
Душистых ландышей, ясминов и лилей,[
Которых ты всегда] любила[
И прежде всякой день] носила
На мраморной груди твоей -
Возможно ль, милая 
Климена,
Какая странная во вкусе перемена!.....
Ты любишь обонять не утренний цветок,
А вредную траву зелену,
Искусством превращенну
В пушистый порошок! -
Пускай уже седой профессор 
Геттингена,
На старой кафедре согнувшися дугой,
Вперив в латинщину глубокой разум свой,
Раскашлявшись, табак толченый
Пихает в длинный нос иссохшею рукой;
Пускай младой драгун усатый[
Поутру, сидя у] окна,
С остатком утреннего сна,
Из трубки пенковой дым гонит сероватый;
Пускай красавица шестидесяти лет,
У 
Граций в отпуску, и у любви в отставке,
Которой держится вся прелесть на подставке,
Которой без морщин на теле места нет,
Злословит, молится, зевает
И с верным табаком печали забывает, - 
А ты, прелестная!.. но если уж табак
Так нравится тебе - о пыл воображенья! - 
Ах! если, превращенный в прах,
И в табакерке, в заточеньи,
Я в персты нежные твои попасться мог,
Тогда б в сердечном восхищеньи
Рассыпался на грудь под шелковый платок
И даже... может быть... 
Но что! мечта пустая.
Не будет этого никак.
Судьба завистливая, злая!
Ах, отчего я не табак!...

 ",1814
306,Пушкин,* * *,"

Кристалл, поэтом обновленный
Укрась мой мирный уголок,
Залог поэзии священной
И дружбы сладостный залог.

В тебе таится жар целебный
__________

Едва уста красноречивы
Тебя коснулися, и вмиг
Его ума огонь игривый
В тебя таинственно проник. ",1829
307,Пушкин,* * *,"

Критон, роскошный гражданин
Очаровательных 
Афин,
Во цвете жизни предавался
Все упоеньям бытия.
Однажды, – слушайте, друзья, –
Он по 
Керамику скитался,
И вдруг из рощи вековой
Красою девственной блистая,
В одежде легкой и простой
Явилась нимфа молодая.
Пред банею, между колонн,
Она на миг остановилась
И в дом вошла. 
Недвижим он
Глядит на дверь, куда как сон,
Его красавица сокрылась. ",1828
308,Пушкин,* * *,"

Кто видел край, где роскошью природы
Оживлены дубравы и луга.
Где весело шумят
блещут воды
И мирные ласкают берега,
Где на холмы под лавровые своды
Не смеют лечь угрюмые снега?
[
Скажите мне: кто видел край прелестный,
Где я любил, изгнанник неизвестный]?

Златой предел! любимый край 
Эльвины,
К тебе летят желания мои!
Я помню скал прибрежные стремнины,
Я помню вод веселые струи,
И тень, и шум - и красные долины,
Где [в тишине] простых татар семьи
Среди забот и с дружбою взаимной
Под кровлею живут гостеприимной.

Всё живо там, все там очей отрада,
Сады татар, селенья, города:
Отражена волнами скал громада,
В морской дали теряются суда,
Янтарь висит на лозах винограда;
Б лугах шумят бродящие стада...
И зрит пловец - могила 
Митридата
Озарена сиянием заката.

И там, где мирт шумит над падшей урной,
Увижу ль вновь сквозь темные леса
И своды скал, и моря блеск лазурный.
И ясные, как радость, небеса?
Утихнет ли волненье жизни бурной?
Минувших лет воскреснет ли краса?
Приду ли вновь под сладостные тени
Душой уснуть на лоне мирной лени?
 ",1821
309,Пушкин,* * *,"

Kennst du das 
Land
Wilh. 
Meist.*

По клюкву, по клюкву,
По ягоду, по клюкву...
Кто знает край, где небо блещет
Неизъяснимой синевой,
Где море теплою волной
Вокруг развалин тихо плещет;
Где вечный лавр и кипарис
На воле гордо разраслись;
Где пел 
Торквато величавый;
Где и теперь во мгле ночной
Адриатической волной
Повторены его октавы;
Где 
Рафаэль живописал;
Где в наши дни резец 
Кановы
Послушный мрамор оживлял,
И 
Байрон, мученик суровый,
Страдал, любил и проклинал?
__ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __

Волшебный край, волшебный край,
Страна высоких вдохновений,
Людмила зрит твой древний рай,
Твои пророческие сени.
На берегу роскошных вод
Порою карнавальных оргий
Кругом ее кипит народ;
Ее приветствуют восторги.
Людмила северной красой,
Всё вместе – томной и живой,
Сынов 
Авзонии пленяет
И поневоле увлекает
Их пестры волны за собой.
На рай полуденной природы,
На блеск небес, на ясны воды,
На чудеса немых искусств
В стесненьи вдохновенных чувств
Людмила светлый взор возводит,
Дивясь и радуясь душой,
И ничего перед собой
Себя прекрасней не находит.
Стоит ли с важностью очей
Пред флорентинскою 
Кипридой,
Их две... и мрамор перед ней
Страдает, кажется, обидой.
Мечты возвышенной полна,
В молчаньи смотрит ли она
На образ нежный 
Форнарины,
Или 
Мадонны молодой,
Она задумчивой красой
Очаровательней картины...
Скажите мне: какой певец,
Горя восторгом умиленным,
Чья кисть, чей пламенный резец
Предаст потомкам изумленным
Ее небесные черты?
Где ты, ваятель безымянный
Богини вечной красоты?
И ты, 
Харитою венчанный,
Ты, вдохновенный 
Рафаэль?
Забудь еврейку молодую,
Младенца–бога колыбель,
Постигни прелесть неземную,
Постигни радость в небесах,
Лиши 
Марию нам другую,
С другим младенцем на руках.
__ __ __ __ __ __ __ __ __

* 
Ты знаешь ли тот край...
«
Вильгельм 
Мейстер». (нем.) ",1835
310,Пушкин,* * *,"

Кто из богов мне возвратил
Того, с кем первые походы
И браней ужас я делил,
Когда за призраком свободы
Нас 
Брут отчаянный водил?
С кем я тревоги боевые
В шатре за чашей забывал
И кудри, плющем увитые,
Сирийским мирром умащал?
Ты помнишь час ужасный битвы,
Когда я, трепетный квирит,
Бежал, нечестно брося щит,
Творя обеты и молитвы?
Как я боялся! как бежал!
Но 
Эрмий сам незапной тучей
Меня покрыл и вдаль умчал
И спас от смерти неминучей.
А ты, любимец первый мой,
Ты снова в битвах очутился...
И ныне в 
Рим ты возвратился
В мой домик темный и простой.
Садись под сень моих пенатов.
Давайте чаши. 
Не жалей
Ни вин моих, ни ароматов.
Венки готовы. 
Мальчик! лей.
Теперь не кстати воздержанье:
Как дикий скиф хочу я пить.
Я с другом праздную свиданье,
Я рад рассудок утопить. ",1823
311,Пушкин,* * *,"

Кто на снегах возрастил 
Феокритовы нежные розы?
В веке железном, скажи, кто золотой угадал?
Кто славянин молодой, грек духом, а родом германец?
Вот загадка моя: хитрый 
Эдип, разреши! ",1829
312,Пушкин,* * *,"

Кто, волны, вас остановил,
Кто оковал ваш бег могучий,
Кто в пруд безмолвный и дремучий
Поток мятежный обратил?
Чей жезл волшебный поразил
Во мне надежду, скорбь и радость
И душу бурную и младость
Дремотой лени усыпил?
Взыграйте, ветры, взройте воды,
Разрушьте гибельный оплот.
Где ты, гроза — символ свободы?
Промчись поверх невольных вод. ",1829
313,Пушкин,Куплеты. На слова Никак нельзя - ну так и быть,"
Я прав, он виноват: решите,
Петра вот 
Первого указ,
Экстракт и опись и приказ,
В мою вы пользу рассудите,
Почтенный господин судья? -  - 
Никак нельзя!
Прикажете ль лошадок вятских
Четверку вам в конюшню свесть?- 
Постойте... кажется мне... есть
Статья... да нет, ведь то в 
Сенатских;
Но, чтобы вас не погубить, 
Ну так и быть.
Клит малый добрый, не деритесь,
Он вас обидеть не хотел,
И сделать этого б не смел.
За что вам драться? помиритесь, - 
Дамону говорят друзья - - 
Никак нельзя!
Но 
Клит идет, идет не струся,
Другой согнулся страшный ус.
Он с саблей - тут притих мой трус. - 
По вашей просьбе помирюся.
И впрямь за что его убить? 
Ну так и быть.

Коллективное, 
 ",1816
314,Пушкин,Куплеты. На слова С позволения сказать,"
С позволения сказать,
Я сердит на вас ужасно,
Нет! - вы просите напрасно;
Не хочу пера марать;
Можно ль честному поэту
Ставить к каждому куплету:«
С позволения сказать»? 
С позволения сказать,
Престарелые красотки,
Пересчитывая четки,
Станут в запуски кричать:«
Это что?» - 
Да это скверно!
Сочинитель песни верно,
С позволения сказать...... 
С позволения сказать
Есть над чем и посмеяться;
Надо всем, друзья, признаться,
Глупых можно тьму cыcкaть
Между дам и между нами,
Даже, даже... меж царями,
С позволения сказать.
С позволения сказать,
Доктор мой кнута достоин,
Хоть он трус, хоть он не воин.
Но уж мастер воевать,
Лечит делом и словами.
Да потом и в гроб пинками.
С позволения сказать.
С позволения сказать,
Моськина, по мне, прекрасна.
Знаю, что она опасна:
Мужу хочется бодать;
Но гусары ведь невинны,
Что у мужа роги длинны,
С позволения сказать.
С позволения сказать,
Много в свете рифмодеев,
Всё ученых грамотеев, 
Чтобы всякий вздор писать;
Но, в пример и страх 
Европы, 
Многим можно б высечь жопы,
С позволения сказать.

Коллективное, 
 ",1816
315,Пушкин,Л. Пушкину,"
Брат милый, отроком расстался ты со мной -
В разлуке протекли медлительные годы;[
Теперь ты юноша] - и полною душой
Цветешь для радостей, для света, для свободы.
Какое поприще открыто пред тобой,
Как много для тебя восторгов, наслаждений
И сладостных забот, и милых заблуждений!
Как часто новый жар твою волнует кровь!
Ты сердце пробуешь, в надежде торопливой,[
Зовешь, вверя
,] и дружбу и любовь.  ",1823
316,Пушкин,"Лаиса Венере, посвящая ей свое зеркало","
Вот зеркало мое - прими его, 
Киприда!
Богиня красоты прекрасна будет ввек,
Седого времени не страшна ей обида’
Она - не смертный человек:
Но я, покорствуя судьбине,
Не в силах зреть себя в прозрачности стекла
Ни той, которой я была,
Ни той, которой ныне.

 ",1814
317,Пушкин,"Лаиса, я люблю твой смелый, [вольный] взор...","
Лаиса, я люблю твой смелый, [вольный] взор,
Неутолимый жар, открытые
желанья 
И непрерывные лобзанья 
И страсти полный разговор.
Люблю горящих уст я вызовы немые, 
Восторги быстрые, живые 

 ",1819
318,Пушкин,Леда. (Кантата),"
Средь темной рощицы, под тенью лип душистых,
В высоком тростнике, где частым жемчугом 
Вздувалась пена вод сребристых, 
Колеблясь тихим ветерком, 
Покров красавицы стыдливой, 
Небрежно кинутый, у берега лежал,
И прелести ее поток волной игривой

С весельем орошал.

Житель рощи торопливый, 

Будь же скромен, о ручей!

Тише, струйки говорливы! 

Изменить страшитесь ей!

Леда робостью трепещет,

Тихо дышет снежна грудь,

Ни волна вокруг не плещет, 

Ни зефир не смеет дуть.

В роще шорох утихает,

Всё в прелестной тишине:

Нимфа далее ступает,

Робкой вверившись волне.
Но что-то меж кустов прибрежных восшумело, 
И чувство робости прекрасной овладело;
Невольно вздрогнула, не в силах воздохнуть. 
И вот пернатых царь из-под склоненной ивы,  
Расправя крылья горделивы,
К красавице плывет - веселья полна грудь;
С шумящей пеною отважно волны гонит,

Крылами воздух бьет,

То в кольцы шею вьет,
То гордую главу смирясь пред 
Ледой клонит.

Леда смеется.

Вдруг раздается

Радости клик.

Вид сладострастный!

К 
Леде прекрасной

Лебедь приник.

Слышно стенанье,

Снова молчанье.

Нимфа лесов

С негою сладкой

Видит украдкой

Тайну богов.
Опомнясь наконец красавица младая
Открыла тихий взор, в томленьях воздыхая, 
И что ж увидела? - 
На ложе из цветог.
Она покоится в объятиях 
Зевеса;

Меж ними юная любовь, - 
И пала таинства прелестного завеса.
 
Сим примером научитесь, 
Розы, девы красоты; 
Летним вечером страшитесь 
В темной рощице воды:
 
В темной рощице таится 
Часто пламенный 
Эрот; 
С хладной струйкою катится, 
Стрелы прячет в пене вод.
 
Сим примером научитесь, 
Розы, девы красоты; 
Летним вечером страшитесь 
В темной рощице воды.

 ",1814
319,Пушкин,Лиле,"
Лила, 
Лила! я страдаю
Безотрадною тоской,
Я томлюсь, я умираю,
Гасну пламенной душой;
Но любовь моя напрасна:
Ты смеешься надо мной.
Смейся, 
Лила: ты прекрасна
И бесчувственной красой. 

 ",1817-1820
320,Пушкин,* * *,"

Любимец ветреных 
Лаис,
Прелестный баловень 
Киприды –
Умей сносить, мой 
Адонис,
Ее минутные обиды!
Она дала красы младой
Тебе в удел очарованье,
И черный ус, и взгляд живой,
Любви улыбку и молчанье.
С тебя довольно, милый друг,
Пускай, желаний пылких чуждый,
Ты поцелуями подруг
Не наслаждаешься, что нужды?
В чаду веселий городских,
На легких играх 
Терпсихоры
К тебе красавиц молодых
Летят задумчивые взоры.
Увы! язык любви немой,
Сей вздох души красноречивый,
Быть должен сладок, милый мой,
Беспечности самолюбивой.
И счастлив ты своей судьбой.
А я, повеса вечно–праздный,
Потомок негров безобразный,
Взращенный в дикой простоте,
Любви не ведая страданий,
Я нравлюсь юной красоте
Бесстыдным бешенством желаний;
С невольным пламенем ланит
Украдкой нимфа молодая,
Сама себя не понимая,
На фавна иногда глядит. ",1834
321,Пушкин,* * *,"

Люблю ваш сумрак неизвестный
И ваши тайные цветы,
О вы, поэзии прелестной
Благословенные мечты!
Вы нас уверили, поэты,
Что тени легкою толпой
От берегов холодной 
Леты
Слетаются на брег земной
И невидимо навещают
Места, где было всё милей,
И в сновиденьях утешают
Сердца покинутых друзей;
Они, бессмертие вкушая,
Их поджидают в 
Элизей,
Как ждет на пир семья родная
Своих замедливших гостей...
 
Но, может быть, мечты пустые -
Быть может, с ризой гробовой
Все чувства брошу я земные,
И чужд мне будет мир земной;
Быть может, там, где всё блистает
Нетленной славой и красой,
Где чистый пламень пожирает
Несовершенство бытия,
Минутных жизни впечатлений
Не сохранит душа моя,
Не буду ведать сожалений,
Тоску любви забуду я?..
 ",1822
322,Пушкин,* * *,"

Любовь одна — веселье жизни хладной,
Любовь одна — мучение сердец:
Она дарит один лишь миг отрадный,
А горестям не виден и конец.
Стократ блажен, кто в юности прелестной
Сей быстрый миг поймает на лету;
Кто к радостям и неге неизвестной
Стыдливую преклонит красоту!
 
Но кто любви не жертвовал собою?
Вы, чувствами свободные певцы!
Пред милыми смирялись вы душою,
Вы пели страсть — и гордою рукою
Красавицам несли свои венцы.
Слепой 
Амур, жестокий и пристрастный,
Вам терния и мирты раздавал;
С пермесскими царицами согласный,
Иным из вас на радость указал;
Других навек печалями связал
И в дар послал огонь любви несчастной.
 
Наследники 
Тибулла и 
Парни!
Вы знаете бесценной жизни сладость;
Как утра луч, сияют ваши дни.
Певцы любви! младую пойте радость,
Склонив уста к пылающим устам,
В объятиях любовниц умирайте;
Стихи любви тихонько воздыхайте!..
Завидовать уже не смею вам.
 
Певцы любви! вы ведали печали,
И ваши дни по терниям текли;
Вы свой конец с волненьем призывали;
Пришел конец, и в жизненной дали
Не зрели вы минутную забаву;
Но, не нашед блаженства ваших дней,
Вы встретили по крайней мере славу,
И мукою бессмертны вы своей!
 
Не тот удел судьбою мне назначен:
Под сумрачным навесом облаков,
В глуши долин, в печальной тьме лесов,
Один, один брожу уныл и мрачен.
В вечерний час над озером седым
В тоске, слезах нередко я стенаю;
Но ропот волн стенаниям моим
И шум дубрав в ответ лишь я внимаю.
Прервется ли души холодный сон,
Поэзии зажжется ль упоенье,—
Родится жар, и тихо стынет он:
Бесплодное проходит вдохновенье.
Пускай она прославится другим,
Один люблю,— он любит и любим!..
Люблю, люблю!.. но к ней уж не коснется
Страдальца глас; она не улыбнется
Его стихам небрежным и простым.
К чему мне петь? под кленом полевым
Оставил я пустынному зефиру
Уж навсегда покинутую лиру,
И слабый дар как легкий скрылся дым. ",1830
323,Пушкин,М.Е. Эйхфельдт,"
Ни блеск ума, ни стройность платья
Не могут вас обворожить;
Одни двоюродные братья
Узнали тайну вас пленить!
Лишили вы меня покоя,
Но вы не любите меня.
Одна моя надежда - 
Зоя:
Женюсь, и буду вам родня.  ",1823
324,Пушкин,Мадонна,"

Не множеством картин старинных мастеров
Украсить я всегда желал свою обитель,
Чтоб суеверно им дивился посетитель,
Внимая важному сужденью знатоков.

В простом углу моем, средь медленных трудов,
Одной картины я желал быть вечно зритель,
Одной: чтоб на меня с холста, как с облаков,
Пречистая и наш божественный спаситель –

Она с величием, он с разумом в очах –
Взирали, кроткие, во славе и в лучах,
Одни, без ангелов, под пальмою 
Сиона.

Исполнились мои желания. 
Творец
Тебя мне ниспослал, тебя, моя 
Мадонна,
Чистейшей прелести чистейший образец. ",1832
325,Пушкин,Мадригал М....ой,"
О вы, которые любовью не горели,
Взгляните на нее - узнаете любовь.
О вы, которые уж сердцем охладели,
Взгляните на нее: полюбите вы вновь. 

 ",1817-1820
326,Пушкин,Мальчику,"

Minister vetuli, puer.*

Пьяной горечью 
Фалерна
Чашу мне наполни, мальчик!
Так 
Постумия велела,
Председательница оргий.
Вы же, воды, прочь теките
И струей, вину враждебной,
Строгих постников поите:
Чистый нам любезен 
Бахус.
--
* 
Мальчик, фалернского. (лат.) ",1829
327,Пушкин,Мансурову,"
Мансуров, закадышный друг,
 
Надень венок терновый!
Вздохни - и рюмку выпей вдруг
 
За здравие 
Крыловой. 
Поверь, она верна тебе.
 
Как девственница 
Ласси,
Она покорствует судьбе
 
И госпоже 
Казасси. 
Но скоро счастливой рукой 
 
Набойку школы скинет,
На бархат ляжет пред тобой
 
И ляжечки раздвинет. 

 ",1819
328,Пушкин,* * *,"

Меж горных стен несется 
Терек,
Волнами точит дикий берег,
Клокочет вкруг огромных скал,
То здесь, то там дорогу роет,
Как зверь живой, ревет и воет –
И вдруг утих и смирен стал.
Всё ниже, ниже опускаясь,
Уж он бежит едва живой.
Так, после бури истощаясь,
Поток струится дождевой.
И вот ……обнажилось
Его кремнистое русло. ",1835
329,Пушкин,* * *,"

Менко 
Вуич грамоту пишет
Георгию, своему побратиму:
«
Берегися, 
Черный 
Георгий,
Над тобой подымается туча,
Ярый враг извести тебя хочет,
Недруг хитрый, 
Милош 
Обренович.
Он в 
Хотин подослал потаенно
Янка младшего с 
Павлом
___________

Осердился 
Георгий 
Петрович,
Засверкали черные очи,
Нахмурились черные брови – ",1816
330,Пушкин,Месяц,"

Зачем из облака выходишь,
Уединенная луна,
И на подушки, сквозь окна,
Сиянье тусклое наводишь?
Явленьем пасмурным своим
Ты будишь грустные мечтанья,
Любви напрасные страданья
И строгим разумом моим
Чуть усыпленные желанья.
Летите прочь, воспоминанья!
Засни, несчастная любовь!
Уж не бывать той ночи вновь,
Когда спокойное сиянье
Твоих таинственных лучей
Сквозь темный завес проницало
И бледно, бледно озаряло
Красу любовницы моей.
Что вы, восторги сладострастья,
Пред тайной прелестью отрад
Прямой любви, прямого счастья?
Примчаться ль радости назад?
Почто, минуты, вы летели
Тогда столь быстрой чередой?
И тени легкие редели
Пред неожиданной зарей?
Зачем ты, месяц, укатился
И в небе светлом утонул?
Зачем луч утренний блеснул?
Зачем я с милою простился? ",1818
331,Пушкин,Мечтатель,"
По небу крадется луна, 
На холме тьма седеет,
На воды пала тишина. 
С долины ветер веет,
Молчит певица вешних дней 
В пустыне темной рощи,
Стада почили средь полей, 
И тих полет полнощи;
И мирный неги уголок 
Ночь сумраком одела,
В камине гаснет огонек, 
И свечка нагорела;
Стоит богов домашних лик 
В кивоте небогатом,
И бледный теплится ночник 
Пред глиняным 
Пенатом.
Главою на руку склонен, 
В забвении глубоком,
Я в сладки думы погружен 
На ложе одиноком:
С волшебной ночи темнотой, 
При месячном сияньи,
Слетают резвою толпой 
Крылатые мечтаньи,
И тихой, тихой льется глас; 
Дрожат златые струны.
В глухой, безмолвный мрака час 
Поет мечтатель юный:
Исполнен тайною тоской, 
Молчаньем вдохновенный,
Летает резвою рукой 
На лире оживленной.
Блажен, кто в низкой свой шалаш 
В мольбах не просит 
Счастья!
Ему 
Зевес надежный страж 
От грозного ненастья;
На маках лени, в тихой час, 
Он сладко засыпает,
И бранных труб ужасный глас  
Его не пробуждает.
Пускай, ударя в звучный щит 
И с видом дерзновенным,
Мне 
Слава издали грозит 
Перстом окровавленным,
И бранны вьются знамена, 
И пышет бой кровавый -
Прелестна сердцу тишина; 
Нейду, нейду за 
Славой.
Нашел в глуши я мирный кров 
И дни веду смиренно;
Дана мне лира от богов, 
Поэту дар бесценный;
И 
Муза верная со мной: 
Хвала тебе, богиня!
Тобою красен домик мой 
И дикая пустыня.
На слабом утре дней златых  
Певца ты осенила,
Венком из миртов молодых 
Чело его покрыла,
И, горним светом озарясь, 
Влетала в скромну келью
И чуть дышала, преклонясь 
Над детской колыбелью.
О, будь мне спутницей младой 
До самых врат могилы!
Летай с мечтаньем надо мной, 
Расправя легки крылы;
Гоните мрачную печаль, 
Пленяйте ум... обманом,
И милой жизни светлу даль 
Кажите за туманом!
И тих мой будет поздний час: 
И смерти добрый гений
Шепнет, у двери постучась: «
Пора в жилище теней!..»
Так в зимний вечер сладкой сон 
Приходит в мирны сени,
Венчанный маком, и склонен 
На посох томной лени...

 ",1815
